function_id,safety_class,reason
effectsize::odds_to_probs,safe,Pure effect size computation
effectsize::oddsratio,safe,Pure effect size computation
effectsize::oddsratio_to_arr,safe,Pure effect size computation
effectsize::oddsratio_to_d,safe,Pure effect size computation
effectsize::oddsratio_to_nnt,safe,Pure effect size computation
effectsize::oddsratio_to_r,safe,Pure effect size computation
effectsize::oddsratio_to_riskratio,safe,Pure effect size computation
effectsize::omega_squared,safe,Pure computation — omega-squared effect size for ANOVA
effectsize::p_overlap,safe,Pure effect size computation
effectsize::p_superiority,safe,Pure effect size computation
effectsize::pearsons_c,safe,Pure effect size computation
effectsize::phi,safe,Pure effect size computation
effectsize::phi_to_chisq,safe,Pure effect size computation
effectsize::print_html,safe,Pure effect size computation
effectsize::print_md,safe,Pure effect size computation
effectsize::probs_to_odds,safe,Pure effect size computation
effectsize::r2_semipartial,safe,Pure effect size computation
effectsize::r_to_d,safe,Pure effect size computation
effectsize::r_to_logoddsratio,safe,Pure effect size computation
effectsize::r_to_oddsratio,safe,Pure effect size computation
effectsize::rank_biserial,safe,Pure effect size computation
effectsize::rank_epsilon_squared,safe,Pure effect size computation
effectsize::rank_eta_squared,safe,Pure effect size computation
effectsize::rb_to_p_superiority,safe,Pure effect size computation
effectsize::rb_to_vda,safe,Pure effect size computation
effectsize::rb_to_wmw_odds,safe,Pure effect size computation
effectsize::repeated_measures_d,safe,Pure effect size computation
effectsize::riskratio,safe,Pure effect size computation
effectsize::riskratio_to_arr,safe,Pure effect size computation
effectsize::riskratio_to_logoddsratio,safe,Pure effect size computation
effectsize::riskratio_to_nnt,safe,Pure effect size computation
effectsize::riskratio_to_oddsratio,safe,Pure effect size computation
effectsize::rm_d,safe,Pure effect size computation
effectsize::rules,safe,Pure effect size computation
effectsize::sd_pooled,safe,Pure effect size computation
effectsize::standardise,safe,Pure effect size computation
effectsize::standardize,safe,Pure effect size computation
effectsize::standardize_info,safe,Pure effect size computation
effectsize::standardize_parameters,safe,Pure effect size computation
effectsize::standardize_posteriors,safe,Pure effect size computation
effectsize::t_to_d,safe,Pure effect size computation
effectsize::t_to_epsilon2,safe,Pure effect size computation
effectsize::t_to_eta2,safe,Pure effect size computation
effectsize::t_to_eta2_adj,safe,Pure effect size computation
effectsize::t_to_f,safe,Pure effect size computation
effectsize::t_to_f2,safe,Pure effect size computation
effectsize::t_to_omega2,safe,Pure effect size computation
effectsize::t_to_r,safe,Pure effect size computation
effectsize::t_to_v,safe,Pure effect size computation
effectsize::t_to_w,safe,Pure effect size computation
effectsize::tschuprows_t,safe,Pure effect size computation
effectsize::v_to_t,safe,Pure effect size computation
effectsize::v_to_w,safe,Pure effect size computation
effectsize::vd_a,safe,Pure effect size computation
effectsize::w_to_c,safe,Pure effect size computation
effectsize::w_to_fei,safe,Pure effect size computation
effectsize::w_to_t,safe,Pure effect size computation
effectsize::w_to_v,safe,Pure effect size computation
effectsize::wmw_odds,safe,Pure effect size computation
effectsize::z_to_d,safe,Pure effect size computation
effectsize::z_to_r,safe,Pure effect size computation
emmeans::contrast,safe,Pure computation — computes contrasts between estimated marginal means
emmeans::emmeans,safe,Pure computation — computes estimated marginal means from model object
emmeans::emmip,callable_with_caveats,Produces interaction plot (graphics side effect on print)
emmeans::emtrends,safe,Pure computation — estimates marginal trends (slopes) from a model
emmeans::joint_tests,safe,Pure computation — omnibus F/chi-sq tests on EMMs
emmeans::ref_grid,safe,Pure computation — constructs reference grid from a fitted model
emmeans::test,safe,Post-estimation helper on in-memory model objects
fixest::coefplot,callable_with_caveats,Generates coefficient plot (graphics side effect on print)
fixest::etable,callable_with_caveats,Prints or writes regression table; file output possible via file= argument
fixest::feglm,safe,Pure computation — GLM with fixed effects
fixest::fenegbin,safe,Pure computation — negative binomial with fixed effects
fixest::feols,safe,Pure computation — OLS with fixed effects; no I/O or system modification
fixest::fitstat,safe,Pure computation — extracts fit statistics from fixest model
fixest::iplot,callable_with_caveats,Generates interaction plot (graphics side effect on print)
fixest::pvalue,safe,Pure computation — extracts p-values from fixest model
fixest::se,safe,Pure computation — extracts standard errors from fixest model
forcats::as_factor,safe,Pure factor transformation helper
forcats::fct_anon,safe,Pure factor transformation helper
forcats::fct_c,safe,Pure factor transformation helper
forcats::fct_collapse,safe,Pure computation — collapses factor levels into groups
forcats::fct_count,safe,Pure factor transformation helper
forcats::fct_cross,safe,Pure factor transformation helper
forcats::fct_drop,safe,Pure computation — drops unused factor levels
forcats::fct_expand,safe,Pure factor transformation helper
forcats::fct_explicit_na,safe,Pure computation — makes NA an explicit factor level
forcats::fct_infreq,safe,Pure computation — reorders levels by frequency
forcats::fct_inorder,safe,Pure factor transformation helper
forcats::fct_inseq,safe,Pure factor transformation helper
forcats::fct_lump,safe,Pure computation — lumps infrequent levels into Other
forcats::fct_lump_lowfreq,safe,Pure factor transformation helper
forcats::fct_lump_min,safe,Pure factor transformation helper
forcats::fct_lump_n,safe,Pure factor transformation helper
forcats::fct_lump_prop,safe,Pure factor transformation helper
forcats::fct_match,safe,Pure factor transformation helper
forcats::fct_na_level_to_value,safe,Pure factor transformation helper
forcats::fct_na_value_to_level,safe,Pure factor transformation helper
forcats::fct_other,safe,Pure factor transformation helper
forcats::fct_recode,safe,Pure computation — renames factor levels
forcats::fct_relabel,safe,Pure factor transformation helper
forcats::fct_relevel,safe,Pure computation — reorders factor levels manually
forcats::fct_reorder,safe,Pure computation — reorders factor levels by another variable
forcats::fct_reorder2,safe,Pure factor transformation helper
forcats::fct_rev,safe,Pure computation — reverses factor level order
forcats::fct_shift,safe,Pure factor transformation helper
forcats::fct_shuffle,safe,Pure factor transformation helper
forcats::fct_unify,safe,Pure factor transformation helper
forcats::fct_unique,safe,Pure factor transformation helper
forecast::Acf,safe,Pure forecasting helper
forecast::Arima,safe,Pure computation
forecast::BoxCox,safe,Pure forecasting helper
forecast::BoxCox.lambda,safe,Pure forecasting helper
forecast::InvBoxCox,safe,Pure forecast helper / transform
forecast::Pacf,safe,Pure forecasting helper
forecast::accuracy,safe,Pure computation
forecast::auto.arima,safe,Pure computation
forecast::bats,callable_with_caveats,Validated forecasting workflow; computation may be expensive
forecast::ets,safe,Pure computation
forecast::findfrequency,safe,Pure forecasting helper
forecast::forecast,safe,Pure computation
forecast::meanf,callable_with_caveats,Validated forecasting workflow; computation may be expensive
forecast::msts,safe,Pure forecast helper / transform
forecast::naive,callable_with_caveats,Validated forecasting workflow; computation may be expensive
forecast::ndiffs,safe,Pure forecasting helper
forecast::nnetar,callable_with_caveats,Validated forecasting workflow; computation may be expensive
forecast::nsdiffs,safe,Pure forecasting helper
forecast::rwf,callable_with_caveats,Validated forecasting workflow; computation may be expensive
forecast::snaive,callable_with_caveats,Validated forecasting workflow; computation may be expensive
forecast::tbats,callable_with_caveats,Validated forecasting workflow; computation may be expensive
forecast::tslm,callable_with_caveats,Validated forecasting workflow; computation may be expensive
gbm::gbm,callable_with_caveats,Gradient boosting — slow on large data and uses RNG
gbm::gbm.perf,safe,Pure computation — optimal number of boosting iterations
gbm::predict.gbm,safe,Pure computation — prediction from gradient boosting model
gbm::summary.gbm,callable_with_caveats,Produces variable importance plot by default
ggplot2::aes,callable_with_caveats,Uses NSE
ggplot2::coord_flip,safe,Coordinate specification
ggplot2::facet_grid,safe,Facet specification
ggplot2::facet_wrap,safe,Facet specification
ggplot2::geom_area,safe,Layer specification
ggplot2::geom_bar,safe,Layer specification
ggplot2::geom_boxplot,safe,Layer specification
ggplot2::geom_col,safe,Layer specification
ggplot2::geom_density,safe,Layer specification
ggplot2::geom_histogram,safe,Layer specification
ggplot2::geom_label,safe,Layer specification
ggplot2::geom_line,safe,Layer specification
ggplot2::geom_point,safe,Layer specification
ggplot2::geom_smooth,safe,Layer specification
ggplot2::geom_text,safe,Layer specification
ggplot2::geom_tile,safe,Layer specification
ggplot2::geom_violin,safe,Layer specification
ggplot2::ggplot,callable_with_caveats,Creates plot object (graphics side effect on print)
ggplot2::ggsave,unsafe,File write
ggplot2::ggtitle,safe,Label specification
ggplot2::labs,safe,Label specification
ggplot2::scale_color_manual,safe,Scale specification
ggplot2::scale_fill_manual,safe,Scale specification
ggplot2::scale_x_continuous,safe,Scale specification
ggplot2::scale_y_continuous,safe,Scale specification
ggplot2::theme,safe,Theme specification
ggplot2::theme_bw,safe,Theme preset
ggplot2::theme_classic,safe,Theme preset
ggplot2::theme_minimal,safe,Theme preset
ggplot2::xlab,safe,Label specification
ggplot2::ylab,safe,Label specification
glmnet::assess.glmnet,safe,Pure glmnet evaluation helper
glmnet::coef.glmnet,safe,Pure computation
glmnet::confusion.glmnet,safe,Pure glmnet evaluation helper
glmnet::cv.glmnet,safe,Pure computation
glmnet::glmnet,safe,Pure computation
glmnet::predict.glmnet,safe,Pure computation
haven::as_factor,safe,Pure computation — converts haven-labelled columns to factors
haven::read_dta,safe,File read only — reads Stata .dta file into tibble
haven::read_sas,safe,File read only — reads SAS .sas7bdat file into tibble
haven::read_sav,safe,File read only — reads SPSS .sav file into tibble
haven::read_spss,safe,Pure computation — reads SPSS .sav/.por files
haven::read_xpt,safe,File read only — reads SAS transport .xpt file into tibble
haven::write_dta,unsafe,File write — writes tibble to Stata .dta format
haven::write_sas,unsafe,File write — writes tibble to SAS .sas7bdat format
haven::write_sav,unsafe,File write — writes tibble to SPSS .sav format
haven::zap_labels,safe,Pure computation — removes value labels from haven-labelled vector
insight::find_formula,safe,Pure computation — retrieves model formula
insight::find_predictors,safe,Pure computation — retrieves predictor variable names from model
insight::find_response,safe,Pure computation — retrieves response variable name from model
insight::get_data,safe,Pure computation — retrieves data used to fit model
insight::get_parameters,safe,Pure computation — extracts model parameter table
insight::get_predicted,safe,Pure computation — extracts fitted/predicted values from model
insight::get_variance,safe,Pure computation — extracts variance components from model
insight::model_info,safe,Pure computation — queries model family and type metadata
janitor::adorn_crosstab,safe,Pure data cleaning helper
janitor::adorn_ns,safe,Pure data cleaning helper
janitor::adorn_pct_formatting,safe,Pure data cleaning helper
janitor::adorn_percentages,safe,Pure data cleaning helper
janitor::adorn_rounding,safe,Pure data cleaning helper
janitor::adorn_title,safe,Pure data cleaning helper
janitor::adorn_totals,safe,Pure data cleaning helper
janitor::as_tabyl,safe,Pure data cleaning helper
janitor::clean_names,safe,Pure data cleaning helper
janitor::clean_names.default,safe,Pure data cleaning helper
janitor::clean_names.sf,safe,Pure data cleaning helper
janitor::clean_names.tbl_lazy,safe,Pure data cleaning helper
janitor::compare_df_cols,safe,Pure data cleaning helper
janitor::compare_df_cols_same,safe,Pure data cleaning helper
janitor::convert_to_NA,safe,Pure data cleaning helper
janitor::convert_to_date,safe,Pure data cleaning helper
janitor::convert_to_datetime,safe,Pure data cleaning helper
janitor::crosstab,safe,Pure data cleaning helper
janitor::find_header,safe,Pure data cleaning helper
janitor::get_dupes,safe,Pure data cleaning helper
janitor::get_one_to_one,safe,Pure data cleaning helper
janitor::make_clean_names,safe,Pure data cleaning helper
janitor::remove_empty,safe,Pure data cleaning helper
janitor::remove_empty_cols,safe,Pure data cleaning helper
janitor::remove_empty_rows,safe,Pure data cleaning helper
janitor::row_to_names,safe,Pure data cleaning helper
janitor::single_value,safe,Pure data cleaning helper
janitor::tabyl,safe,Pure data cleaning helper
janitor::tabyl.data.frame,safe,Pure data cleaning helper
janitor::tabyl.default,safe,Pure data cleaning helper
lavaan::cfa,safe,Pure computation — fits confirmatory factor analysis model
lavaan::fitMeasures,safe,Pure computation — extracts fit indices from lavaan model
lavaan::growth,safe,Pure computation — fits latent growth curve model
lavaan::inspect,safe,Pure computation — extracts internal matrices from lavaan model
lavaan::lavInspect,safe,Pure SEM inspection helper
lavaan::lavNames,safe,Pure SEM inspection helper
lavaan::lavParTable,safe,Pure SEM inspection helper
lavaan::lavParseModelString,safe,Pure SEM inspection helper
lavaan::lavPredict,safe,Pure SEM inspection helper
lavaan::lavPredictY,safe,Pure SEM inspection helper
lavaan::lavResiduals,safe,Pure SEM inspection helper
lavaan::lavTestLRT,safe,Pure computation — likelihood ratio test between lavaan models
lavaan::lavaan,callable_with_caveats,Validated SEM workflow; model fitting can be expensive
lavaan::modindices,safe,Pure computation — computes modification indices for lavaan model
lavaan::parameterEstimates,safe,Pure computation — extracts parameter table from lavaan model
lavaan::sem,safe,Pure computation — fits structural equation model
lavaan::standardizedSolution,safe,Pure computation — extracts standardized estimates from lavaan model
lme4::VarCorr,safe,Pure computation
lme4::confint.merMod,safe,Pure computation
lme4::fixef,safe,Pure computation
lme4::getME,safe,Read-only mixed-model accessor
lme4::glmer,safe,Pure computation
lme4::isGLMM,safe,Read-only mixed-model accessor
lme4::isLMM,safe,Read-only mixed-model accessor
lme4::isNLMM,safe,Read-only mixed-model accessor
lme4::isSingular,safe,Pure computation
lme4::lmer,safe,Pure computation
lme4::nlmer,safe,Pure computation
lme4::ranef,safe,Pure computation
lme4::vcov.merMod,safe,Read-only mixed-model accessor
lmtest::bgtest,safe,Pure statistical test
lmtest::bptest,safe,Pure computation
lmtest::coefci,safe,Pure statistical test
lmtest::coeftest,safe,Pure computation
lmtest::coxtest,safe,Pure statistical test
lmtest::dwtest,safe,Pure statistical test
lmtest::encomptest,safe,Pure statistical test
lmtest::gqtest,safe,Pure statistical test
lmtest::harvtest,safe,Pure statistical test
lmtest::hmctest,safe,Pure statistical test
lmtest::jtest,safe,Pure statistical test
lmtest::lrtest,safe,Pure statistical test
lmtest::raintest,safe,Pure statistical test
lmtest::resettest,safe,Pure computation
lmtest::waldtest,safe,Pure computation
lubridate::am,safe,Pure date-time transformation helper
lubridate::as_date,safe,Pure date-time transformation helper
lubridate::as_datetime,safe,Pure date-time transformation helper
lubridate::ceiling_date,safe,Pure date-time transformation helper
lubridate::date_decimal,safe,Pure date-time transformation helper
lubridate::day,safe,Pure date-time transformation helper
lubridate::days,safe,Pure date-time transformation helper
lubridate::days_in_month,safe,Pure date-time transformation helper
lubridate::decimal_date,safe,Pure date-time transformation helper
lubridate::dhours,safe,Pure date-time transformation helper
lubridate::dminutes,safe,Pure date-time transformation helper
lubridate::dmonths,safe,Pure date-time transformation helper
lubridate::dmy,safe,Pure date-time transformation helper
lubridate::dmy_h,safe,Pure date-time transformation helper
lubridate::dmy_hm,safe,Pure date-time transformation helper
lubridate::dmy_hms,safe,Pure date-time transformation helper
lubridate::dseconds,safe,Pure date-time transformation helper
lubridate::duration,safe,Pure date-time transformation helper
lubridate::dyears,safe,Pure date-time transformation helper
lubridate::dym,safe,Pure date-time transformation helper
lubridate::epiweek,safe,Pure date-time transformation helper
lubridate::fast_strptime,safe,Pure date-time transformation helper
lubridate::floor_date,safe,Pure date-time transformation helper
lubridate::force_tz,safe,Pure date-time transformation helper
lubridate::force_tzs,safe,Pure date-time transformation helper
lubridate::guess_formats,safe,Pure date-time transformation helper
lubridate::hm,safe,Pure date-time transformation helper
lubridate::hms,safe,Pure date-time transformation helper
lubridate::hour,safe,Pure date-time transformation helper
lubridate::hours,safe,Pure date-time transformation helper
lubridate::int_aligns,safe,Pure date-time transformation helper
lubridate::int_diff,safe,Pure date-time transformation helper
lubridate::int_end,safe,Pure date-time transformation helper
lubridate::int_flip,safe,Pure date-time transformation helper
lubridate::int_length,safe,Pure date-time transformation helper
lubridate::int_overlaps,safe,Pure date-time transformation helper
lubridate::int_shift,safe,Pure date-time transformation helper
lubridate::int_standardize,safe,Pure date-time transformation helper
lubridate::int_start,safe,Pure date-time transformation helper
lubridate::interval,safe,Pure date-time transformation helper
lubridate::isoweek,safe,Pure date-time transformation helper
lubridate::leap_year,safe,Pure date-time transformation helper
lubridate::make_date,safe,Pure date-time transformation helper
lubridate::make_datetime,safe,Pure date-time transformation helper
lubridate::make_difftime,safe,Pure date-time transformation helper
lubridate::mdy,safe,Pure date-time transformation helper
lubridate::mdy_h,safe,Pure date-time transformation helper
lubridate::mdy_hm,safe,Pure date-time transformation helper
lubridate::mdy_hms,safe,Pure date-time transformation helper
lubridate::microseconds,safe,Pure date-time transformation helper
lubridate::milliseconds,safe,Pure date-time transformation helper
lubridate::minute,safe,Pure date-time transformation helper
lubridate::minutes,safe,Pure date-time transformation helper
lubridate::month,safe,Pure date-time transformation helper
lubridate::ms,safe,Pure date-time transformation helper
lubridate::my,safe,Pure date-time transformation helper
lubridate::myd,safe,Pure date-time transformation helper
lubridate::nanoseconds,safe,Pure date-time transformation helper
lubridate::now,safe,Pure date-time transformation helper
lubridate::parse_date_time,safe,Pure date-time transformation helper
lubridate::parse_date_time2,safe,Pure date-time transformation helper
lubridate::period,safe,Pure date-time transformation helper
lubridate::period_to_seconds,safe,Pure date-time transformation helper
lubridate::pm,safe,Pure date-time transformation helper
lubridate::qday,safe,Pure date-time transformation helper
lubridate::quarter,safe,Pure date-time transformation helper
lubridate::rollback,safe,Pure date-time transformation helper
lubridate::rollbackward,safe,Pure date-time transformation helper
lubridate::round_date,safe,Pure date-time transformation helper
lubridate::second,safe,Pure date-time transformation helper
lubridate::seconds,safe,Pure date-time transformation helper
lubridate::seconds_to_period,safe,Pure date-time transformation helper
lubridate::semester,safe,Pure date-time transformation helper
lubridate::stamp,safe,Pure date-time transformation helper
lubridate::stamp_date,safe,Pure date-time transformation helper
lubridate::stamp_time,safe,Pure date-time transformation helper
lubridate::time_length,safe,Pure date-time transformation helper
lubridate::today,safe,Pure date-time transformation helper
lubridate::wday,safe,Pure date-time transformation helper
lubridate::week,safe,Pure date-time transformation helper
lubridate::weeks,safe,Pure date-time transformation helper
lubridate::with_tz,safe,Pure date-time transformation helper
lubridate::yday,safe,Pure date-time transformation helper
lubridate::ydm,safe,Pure date-time transformation helper
lubridate::ydm_h,safe,Pure date-time transformation helper
lubridate::ydm_hm,safe,Pure date-time transformation helper
lubridate::ydm_hms,safe,Pure date-time transformation helper
lubridate::year,safe,Pure date-time transformation helper
lubridate::years,safe,Pure date-time transformation helper
lubridate::ym,safe,Pure date-time transformation helper
lubridate::ymd,safe,Pure date-time transformation helper
lubridate::ymd_h,safe,Pure date-time transformation helper
lubridate::ymd_hm,safe,Pure date-time transformation helper
lubridate::ymd_hms,safe,Pure date-time transformation helper
marginaleffects::avg_comparisons,safe,Pure computation — average marginal comparisons across dataset
marginaleffects::avg_predictions,safe,Marginal effects helper on in-memory model objects
marginaleffects::avg_slopes,safe,Pure computation — average marginal slopes across dataset
marginaleffects::comparisons,safe,Pure computation — comparisons between predictor levels
marginaleffects::datagrid,safe,Marginal effects helper on in-memory model objects
marginaleffects::hypotheses,safe,Marginal effects helper on in-memory model objects
marginaleffects::inferences,safe,Marginal effects helper on in-memory model objects
marginaleffects::plot_predictions,callable_with_caveats,Generates predictions plot (graphics side effect on print)
marginaleffects::predictions,safe,Pure computation — model-based predictions at observed/specified values
marginaleffects::slopes,safe,Pure computation — partial derivatives (marginal effects) from model
mgcv::anova.gam,safe,GAM inspection helper
mgcv::bam,safe,Pure computation
mgcv::concurvity,safe,GAM inspection helper
mgcv::fixDependence,safe,GAM inspection helper
mgcv::gam,safe,Pure computation
mgcv::gam.check,safe,GAM inspection helper
mgcv::gamm,callable_with_caveats,Validated GAM workflow; model fitting can be expensive
mgcv::predict.gam,safe,GAM inspection helper
mgcv::s,safe,Smooth term specification
mgcv::te,safe,Tensor product specification
nlme::VarCorr,safe,Mixed-effects inspection helper
nlme::anova.lme,safe,Mixed-effects inspection helper
nlme::augPred,safe,Mixed-effects inspection helper
nlme::fixef,safe,Mixed-effects inspection helper
nlme::gls,safe,Pure computation
nlme::gnls,callable_with_caveats,Validated mixed-effects workflow; model fitting can be expensive
nlme::intervals,safe,Mixed-effects inspection helper
nlme::lme,safe,Pure computation
nlme::nlme,safe,Pure computation
nlme::ranef,safe,Mixed-effects inspection helper
nnet::multinom,safe,Pure computation — fits multinomial logistic regression
nnet::nnet,safe,Pure computation — fits single-hidden-layer neural network
parameters::bootstrap_model,safe,Parameter extraction helper on in-memory objects
parameters::bootstrap_parameters,callable_with_caveats,Bootstraps model parameters; uses RNG and may be slow
parameters::ci,safe,Pure computation — confidence intervals for model parameters
parameters::ci_betwithin,safe,Parameter extraction helper on in-memory objects
parameters::ci_kenward,safe,Parameter extraction helper on in-memory objects
parameters::ci_ml1,safe,Parameter extraction helper on in-memory objects
parameters::ci_satterthwaite,safe,Parameter extraction helper on in-memory objects
parameters::cluster_analysis,safe,Parameter extraction helper on in-memory objects
parameters::cluster_centers,safe,Parameter extraction helper on in-memory objects
parameters::cluster_discrimination,safe,Parameter extraction helper on in-memory objects
parameters::cluster_meta,safe,Parameter extraction helper on in-memory objects
parameters::cluster_performance,safe,Parameter extraction helper on in-memory objects
parameters::compare_models,safe,Parameter extraction helper on in-memory objects
parameters::compare_parameters,safe,Parameter extraction helper on in-memory objects
parameters::demean,safe,Parameter extraction helper on in-memory objects
parameters::describe_distribution,safe,Parameter extraction helper on in-memory objects
parameters::equivalence_test,safe,Parameter extraction helper on in-memory objects
parameters::model_parameters,safe,Pure computation — extracts tidy parameter table from model
parameters::p_calibrate,safe,Parameter extraction helper on in-memory objects
parameters::p_direction,safe,Parameter extraction helper on in-memory objects
parameters::p_function,safe,Parameter extraction helper on in-memory objects
parameters::p_significance,safe,Parameter extraction helper on in-memory objects
parameters::p_value,safe,Pure computation — extracts p-values from model
parameters::p_value_betwithin,safe,Parameter extraction helper on in-memory objects
parameters::p_value_kenward,safe,Parameter extraction helper on in-memory objects
parameters::p_value_ml1,safe,Parameter extraction helper on in-memory objects
parameters::p_value_satterthwaite,safe,Parameter extraction helper on in-memory objects
parameters::parameters,safe,Parameter extraction helper on in-memory objects
parameters::rescale_weights,safe,Parameter extraction helper on in-memory objects
parameters::simulate_model,safe,Parameter extraction helper on in-memory objects
parameters::simulate_parameters,safe,Parameter extraction helper on in-memory objects
parameters::standard_error,safe,Pure computation — standard errors for model parameters
parameters::standardize_info,safe,Parameter extraction helper on in-memory objects
parameters::standardize_names,safe,Parameter extraction helper on in-memory objects
parameters::standardize_parameters,safe,Pure computation — standardized parameter estimates
parameters::standardize_posteriors,safe,Parameter extraction helper on in-memory objects
performance::check_autocorrelation,safe,Model diagnostic helper on in-memory objects
performance::check_clusterstructure,safe,Model diagnostic helper on in-memory objects
performance::check_collinearity,safe,Pure computation — checks for multicollinearity in model
performance::check_concurvity,safe,Model diagnostic helper on in-memory objects
performance::check_convergence,safe,Model diagnostic helper on in-memory objects
performance::check_dag,safe,Model diagnostic helper on in-memory objects
performance::check_distribution,safe,Model diagnostic helper on in-memory objects
performance::check_factorstructure,safe,Model diagnostic helper on in-memory objects
performance::check_group_variation,safe,Model diagnostic helper on in-memory objects
performance::check_heterogeneity_bias,safe,Model diagnostic helper on in-memory objects
performance::check_heteroscedasticity,safe,Pure computation — tests homoscedasticity of model residuals
performance::check_heteroskedasticity,safe,Model diagnostic helper on in-memory objects
performance::check_homogeneity,safe,Model diagnostic helper on in-memory objects
performance::check_itemscale,safe,Model diagnostic helper on in-memory objects
performance::check_kmo,safe,Model diagnostic helper on in-memory objects
performance::check_model,callable_with_caveats,Generates diagnostic plots (graphics side effect on print)
performance::check_multimodal,safe,Model diagnostic helper on in-memory objects
performance::check_normality,safe,Pure computation — tests normality of model residuals
performance::check_outliers,safe,Model diagnostic helper on in-memory objects
performance::check_overdispersion,safe,Model diagnostic helper on in-memory objects
performance::check_predictions,safe,Model diagnostic helper on in-memory objects
performance::check_residuals,safe,Model diagnostic helper on in-memory objects
performance::check_singularity,safe,Model diagnostic helper on in-memory objects
performance::check_sphericity,safe,Model diagnostic helper on in-memory objects
performance::check_sphericity_bartlett,safe,Model diagnostic helper on in-memory objects
performance::check_symmetry,safe,Model diagnostic helper on in-memory objects
performance::check_zeroinflation,safe,Model diagnostic helper on in-memory objects
performance::compare_performance,safe,Pure computation — compares performance metrics across models
performance::icc,safe,Pure computation — intraclass correlation coefficient for mixed models
performance::mae,safe,Model diagnostic helper on in-memory objects
performance::model_performance,safe,Pure computation — computes performance metrics for model
performance::mse,safe,Model diagnostic helper on in-memory objects
performance::performance,safe,Model diagnostic helper on in-memory objects
performance::performance_accuracy,safe,Model diagnostic helper on in-memory objects
performance::performance_aic,safe,Model diagnostic helper on in-memory objects
performance::performance_aicc,safe,Model diagnostic helper on in-memory objects
performance::performance_cv,safe,Model diagnostic helper on in-memory objects
performance::performance_dvour,safe,Model diagnostic helper on in-memory objects
performance::performance_hosmer,safe,Model diagnostic helper on in-memory objects
performance::performance_logloss,safe,Model diagnostic helper on in-memory objects
performance::performance_mae,safe,Model diagnostic helper on in-memory objects
performance::performance_mse,safe,Model diagnostic helper on in-memory objects
performance::performance_pcp,safe,Model diagnostic helper on in-memory objects
performance::performance_reliability,safe,Model diagnostic helper on in-memory objects
performance::performance_rmse,safe,Model diagnostic helper on in-memory objects
performance::performance_roc,safe,Model diagnostic helper on in-memory objects
performance::performance_rse,safe,Model diagnostic helper on in-memory objects
performance::performance_score,safe,Model diagnostic helper on in-memory objects
performance::r2,safe,Pure computation — computes R-squared variants for model
performance::r2_bayes,safe,Model diagnostic helper on in-memory objects
performance::r2_coxsnell,safe,Model diagnostic helper on in-memory objects
performance::r2_efron,safe,Model diagnostic helper on in-memory objects
performance::r2_ferrari,safe,Model diagnostic helper on in-memory objects
performance::r2_kullback,safe,Model diagnostic helper on in-memory objects
performance::r2_loo,safe,Model diagnostic helper on in-memory objects
performance::r2_loo_posterior,safe,Model diagnostic helper on in-memory objects
performance::r2_mcfadden,safe,Model diagnostic helper on in-memory objects
performance::r2_mckelvey,safe,Model diagnostic helper on in-memory objects
performance::r2_mlm,safe,Model diagnostic helper on in-memory objects
performance::r2_nagelkerke,safe,Model diagnostic helper on in-memory objects
performance::r2_nakagawa,safe,Model diagnostic helper on in-memory objects
performance::r2_posterior,safe,Model diagnostic helper on in-memory objects
performance::r2_somers,safe,Model diagnostic helper on in-memory objects
performance::r2_tjur,safe,Model diagnostic helper on in-memory objects
performance::r2_xu,safe,Model diagnostic helper on in-memory objects
performance::r2_zeroinflated,safe,Model diagnostic helper on in-memory objects
performance::rmse,safe,Model diagnostic helper on in-memory objects
performance::test_bf,safe,Model diagnostic helper on in-memory objects
performance::test_likelihoodratio,safe,Model diagnostic helper on in-memory objects
performance::test_lrt,safe,Model diagnostic helper on in-memory objects
performance::test_performance,safe,Model diagnostic helper on in-memory objects
performance::test_vuong,safe,Model diagnostic helper on in-memory objects
performance::test_wald,safe,Model diagnostic helper on in-memory objects
plm::Between,safe,Panel-model helper
plm::Within,safe,Panel-model helper
plm::between,safe,Panel-model helper
plm::fixef,safe,Panel-model helper
plm::lag,safe,Panel-model helper
plm::lead,safe,Panel-model helper
plm::pFtest,safe,Panel-model helper
plm::pbgtest,safe,Panel-model helper
plm::pdata.frame,safe,Panel-model helper
plm::phtest,safe,Panel-model helper
plm::plm,callable_with_caveats,Validated panel-model workflow; model fitting can be expensive
plm::plmtest,safe,Panel-model helper
plm::pwartest,safe,Panel-model helper
plm::pwtest,safe,Panel-model helper
plm::ranef,safe,Panel-model helper
psych::%+%,safe,Psychometrics/statistical helper on in-memory data
psych::AUC,safe,Psychometrics/statistical helper on in-memory data
psych::ICC,safe,Psychometrics/statistical helper on in-memory data
psych::ICLUST,safe,Psychometrics/statistical helper on in-memory data
psych::ICLUST.cluster,safe,Psychometrics/statistical helper on in-memory data
psych::ICLUST.sort,safe,Psychometrics/statistical helper on in-memory data
psych::KMO,safe,Pure computation — Kaiser-Meyer-Olkin measure of sampling adequacy
psych::Pinv,safe,Psychometrics/statistical helper on in-memory data
psych::Procrustes,safe,Psychometrics/statistical helper on in-memory data
psych::Promax,safe,Psychometrics/statistical helper on in-memory data
psych::RMSEA,safe,Psychometrics/statistical helper on in-memory data
psych::RV,safe,Psychometrics/statistical helper on in-memory data
